Header Section,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product,VC5268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Test Plan,Rev(H),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Release Date,9/27/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comment,Dual Band," 501~588 is correlation golden in Sigurd, 600~629 is generated in Goodark (5268Q)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Section,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Device#,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
337,1,337,764.61,33.596,33.752,1558.23,42.131,33.021,1.521,1386.859,39.819,-37.99,-37.143,-58.497,-30.238,1.048,-3.659,11.899,117.72,0.001,593.471,31.193,31.395,1166.258,34.819,30.005,1.455,950.938,31.059,-40.026,-32.888,-68.784,-31.081,0.06,-1.704,6.653,125.911,0.001,-1.654,-1.818,7.14,55,852.711,7780
338,1,338,782.644,33.703,33.868,1637.678,41.205,33.028,1.506,1437.495,38.532,-41.661,-37.605,-59.146,-30.585,1.326,-3.804,11.657,120.443,-0.003,601.431,31.234,31.465,1139.524,36.25,30.012,1.42,925.49,31.989,-41.772,-32.691,-70.045,-29.815,-0.23,-1.998,7.287,124.704,-0.004,-1.64,-1.802,6.746,55,802.375,6847
339,1,339,773.929,33.722,33.917,1648.319,41.414,33.017,1.518,1444.293,38.258,-42.595,-39.236,-59.034,-30.759,1.242,-3.69,11.414,121.416,-0.005,597.314,31.235,31.44,1157.011,35.472,30.012,1.444,943.226,31.37,-39.198,-31.211,-70.345,-28.779,-0.161,-1.907,6.869,127.292,-0.002,-1.634,-1.786,6.205,55,830.496,8080.333
340,1,340,788.848,33.802,33.987,1683.94,41.211,33.013,1.481,1456.55,37.91,-41.679,-39.941,-58.857,-30.638,0.913,-3.712,12.301,112.254,-0.012,609.672,31.243,31.454,1149.621,35.82,30.012,1.409,934.336,31.677,-39.435,-33.375,-70.553,-30.185,-0.169,-1.884,7.67,120.156,0.004,-1.636,-1.794,6.624,55,821.443,15038.5
341,1,341,796.41,33.8,33.974,1677.534,41.246,33.007,1.508,1457.25,37.841,-40.817,-38.561,-59.495,-30.66,1.567,-3.762,11.223,126.207,-0.001,611.825,31.216,31.417,1144.539,35.683,30.003,1.431,933.098,31.653,-39.947,-32.398,-69.637,-30.542,-0.105,-1.919,7.078,123.877,0.005,-1.636,-1.8,5.924,55,813.27,52458.333
342,1,342,784.32,33.598,33.803,1586.183,41.891,33.022,1.521,1398.278,39.515,-39.53,-37.104,-57.868,-30.17,0.967,-3.69,11.634,112.258,0,605.993,31.165,31.419,1150.572,35.509,30.013,1.457,943.384,31.367,-40.884,-32.517,-70.399,-30.584,-0.175,-1.804,6.838,118.249,-0.004,-1.635,-1.813,7.22,55,809.869,9596.667
343,1,343,800.572,33.76,33.979,1714.776,40.406,33.013,1.523,1493.27,37.01,-38.523,-39.734,-59.893,-31.339,1.233,-3.81,11.375,116.915,0.009,614.401,31.307,31.509,1152.005,36.197,30.006,1.427,932.832,31.687,-41.361,-31.67,-69.432,-30.764,-0.386,-2.064,7.186,119.159,0.003,-1.636,-1.8,6.181,55,743.756,15415
344,1,344,788.709,33.773,33.963,1671.613,41.285,33.025,1.51,1457.732,37.984,-42.916,-34.142,-58.418,-30.733,1.166,-3.846,11.406,122.938,0.008,611.616,31.314,31.504,1162.411,35.821,30.005,1.432,938.131,31.489,-41.363,-30.862,-69.564,-31.063,-0.29,-2.016,6.645,128.171,-0.007,-1.644,-1.788,5.907,55,782.831,34399.667
345,1,345,804.967,33.608,33.894,1679.033,40.456,33.018,1.516,1477.15,37.442,-39.089,-34.697,-58.712,-31.752,1.427,-3.714,11.113,125.564,-0.005,616.035,31.415,31.6,1165.488,36.526,30.004,1.412,930.603,31.747,-43.764,-33.892,-70.149,-30.479,-0.258,-1.933,6.7,124.744,0.001,-1.647,-1.788,6.326,55,805.988,11888
346,1,346,806.582,33.664,33.892,1651.99,41.085,33.029,1.507,1452.296,38.156,-42.061,-38.622,-59.136,-31.958,1.1,-3.671,11.361,122.391,0.005,617.092,31.273,31.464,1149.677,35.903,30.004,1.421,932.875,31.67,-40.633,-31.897,-67.924,-30.156,-0.032,-1.844,6.904,126.602,0.002,-1.623,-1.795,6.055,55,819.947,16246.667
347,1,347,786.743,33.742,33.927,1637.131,41.785,33.024,1.496,1427.557,38.755,-38.982,-38.782,-58.056,-29.93,1.069,-3.682,11.526,121.561,0.005,608.704,31.3,31.518,1171.151,35.661,30,1.421,946.681,31.162,-40.809,-32.103,-69.138,-27.094,-0.206,-1.856,6.746,129.871,0.002,-1.594,-1.762,7.599,55,852.949,13994.333
348,1,348,785.56,33.76,33.981,1674.277,41.383,33.017,1.507,1454.353,38.003,-40.033,-37.48,-58.203,-30.739,1.079,-3.764,11.727,120.377,-0.006,605.979,31.347,31.536,1155.724,36.309,30.011,1.421,932.562,31.728,-40.203,-32.511,-67.664,-30.206,-0.001,-1.833,7.517,115.946,0.001,-1.599,-1.778,6.507,55,792.924,23940.667
349,1,349,773.034,33.678,33.875,1644.663,41.1,33.027,1.527,1444.462,38.346,-41.736,-37.672,-58.978,-30.796,1.192,-3.616,11.547,119.49,-0.003,598.335,31.248,31.445,1156.008,35.543,30.016,1.445,936.697,31.627,-37.702,-33.212,-66.779,-30.373,0.012,-1.658,7.028,125.442,0.003,-1.595,-1.767,6.285,55,803.791,8384.667
350,1,350,743.909,33.382,33.607,1519.243,41.761,33.034,1.55,1390.016,39.853,-42.125,-38.602,-58.472,-28.029,1.028,-3.707,10.868,143.247,-0.001,584.407,31.262,31.465,1147.9,35.973,29.998,1.442,926.454,31.851,-39.409,-32.682,-69.439,-30.676,-0.271,-1.846,5.548,144.508,0.004,-1.617,-1.777,7.312,55,767.676,6825.333
351,1,351,788.731,33.808,33.984,1695.978,40.896,33.02,1.506,1472.034,37.587,-40.658,-40.626,-60.059,-31.053,1.4,-3.783,11.708,115.871,0.002,609.434,31.33,31.517,1162.047,35.943,30.015,1.425,938.926,31.54,-40.497,-30.913,-68.549,-31.007,-0.052,-1.922,7.095,122.847,0.007,-1.589,-1.768,6.247,55,762.524,8893
352,1,352,772.718,33.743,33.927,1667.486,41.042,33.012,1.504,1452.045,38.016,-41.408,-37.805,-58.267,-31.077,1.253,-3.727,11.857,115.894,0.007,593.788,31.326,31.531,1165.657,35.946,30.001,1.426,942.212,31.322,-40.1,-32.997,-68.301,-30.077,-0.014,-1.775,7.278,124.176,0.004,-1.605,-1.772,6.873,55,843.543,8900
353,1,353,795.936,33.773,33.918,1654.1,41.283,33.023,1.484,1437.768,38.478,-41.498,-37.597,-58.297,-31.461,0.987,-3.815,11.815,117.608,-0.004,611.943,31.33,31.518,1190.72,35.06,30.012,1.416,960.731,30.778,-38.058,-31.904,-67.905,-30.446,-0.078,-1.87,6.991,127.375,0.004,-1.612,-1.782,7.344,55,761.299,6677.667
354,1,354,800.293,33.859,34.026,1700.979,41.172,33.007,1.5,1462.517,37.71,-42.789,-40.408,-60.164,-30.864,1.262,-3.706,11.834,118.886,0.004,614.41,31.296,31.503,1165.47,35.714,30.007,1.429,943.567,31.321,-39.604,-31.136,-68.712,-31.11,-0.034,-1.806,7.252,119.532,-0.002,-1.6,-1.772,6.581,55,745.623,17180.667
355,1,355,788.462,33.64,33.837,1598.683,41.894,33.024,1.512,1409.29,39.242,-40.176,-37.966,-57.756,-31.132,1.08,-3.817,11.667,119.223,0.003,607.259,31.347,31.557,1180.161,35.695,30.011,1.429,952.803,31.035,-40.515,-32.688,-69.693,-29.695,-0.117,-1.932,7.11,122.581,0.005,-1.607,-1.781,7.229,55,759.49,16468
356,1,356,795.469,33.78,33.933,1635.574,41.888,33.025,1.5,1422.607,38.895,-44.245,-40.173,-59.592,-30.852,0.99,-3.675,11.831,111.447,0,616.236,31.241,31.447,1163.935,35.31,30.017,1.434,948.615,31.219,-39.434,-31.648,-68.536,-31.299,-0.116,-1.782,7.102,121.344,0.001,-1.627,-1.795,6.94,55,777.872,15184.667
357,1,357,805.927,33.836,33.998,1719.943,40.474,33.016,1.521,1490.126,37.113,-39.231,-38.799,-58.965,-31.005,1.295,-3.724,11.254,118.519,0.002,619.641,31.204,31.405,1137.18,35.823,29.997,1.446,927.676,31.8,-39.786,-32.302,-69.182,-30.037,-0.016,-1.871,6.675,125.627,0.005,-1.62,-1.789,5.822,55,814.707,23007
358,1,358,791.007,33.592,33.723,1529.349,42.622,33.04,1.508,1359.877,40.764,-39.413,-38.927,-58.455,-30.751,1.296,-3.545,11.938,111.741,-0.003,610.329,31.315,31.506,1165.708,35.735,30.005,1.435,941.41,31.377,-40.52,-32.513,-68.488,-31.13,0.085,-1.665,6.699,127.597,-0.003,-1.622,-1.806,7.432,55,822.189,10683
359,1,359,786.743,33.741,33.872,1627.064,41.504,33.02,1.499,1422.362,38.858,-41.187,-38.318,-58.709,-29.686,1.195,-3.711,12.183,112.298,0,604.34,31.325,31.524,1161.757,36.01,30.002,1.422,936.179,31.537,-40.217,-31.61,-67.787,-31.25,0.022,-1.846,7.346,118.634,-0.01,-1.62,-1.801,7.058,55,774.898,8378
360,1,360,797.676,33.636,33.757,1573.538,41.77,33.038,1.497,1389.088,39.916,-38.376,-37.786,-57.973,-31.371,1.038,-3.654,11.647,126.571,-0.001,607.586,31.308,31.508,1186.628,35.098,30.005,1.416,957.894,30.82,-38.139,-32.799,-68.689,-30.592,-0.016,-1.735,7.007,127.722,-0.004,-1.601,-1.78,7.555,55,799.313,8414
361,1,361,776.018,33.725,33.881,1628.614,41.558,33.02,1.521,1427.539,38.713,-42.812,-38.805,-58.934,-30.71,1.291,-3.613,11.446,122.566,0,601.996,31.215,31.407,1148.091,35.489,30.012,1.444,935.88,31.619,-39.623,-32.801,-68.936,-30.823,-0.104,-1.798,6.759,126.948,0.003,-1.621,-1.792,6.174,55,786.341,20750.333
362,1,362,786.207,33.636,33.792,1589.692,41.691,33.023,1.522,1409.509,39.225,-39.486,-37.858,-58.039,-30.958,0.949,-3.797,11.488,125.247,-0.002,604.185,31.187,31.392,1160.272,34.983,30.017,1.448,944.696,31.353,-38.782,-32.251,-69.414,-31.341,-0.148,-1.88,6.441,133.366,-0.001,-1.638,-1.794,6.512,55,808.507,9373.667
363,1,363,766.415,33.547,33.693,1513.692,42.753,33.046,1.513,1354.854,40.965,-36.811,-38.355,-58.248,-30.208,1.18,-3.693,12.304,112.592,0.005,593.932,31.138,31.371,1141.113,35.419,30.007,1.444,936.513,31.566,-39.551,-33.805,-69.516,-30.037,0.027,-1.796,7.155,123.096,0.004,-1.612,-1.783,7.218,55,801.445,23596
364,1,364,787.088,33.729,33.883,1633.353,41.458,33.022,1.498,1429.707,38.684,-41.245,-38.705,-58.802,-30.78,1.167,-3.607,11.828,121.138,0.005,604.376,31.193,31.398,1132.045,35.935,30.01,1.418,924.879,31.993,-39.84,-33.629,-68.312,-30.552,-0.076,-1.713,7.217,123.992,-0.002,-1.608,-1.784,6.647,55,800.86,7359.667
365,1,365,789.529,33.742,33.945,1724.865,39.863,33.007,1.535,1505.955,36.655,-40.172,-39.558,-58.66,-31.743,1.015,-3.738,10.985,124.015,0.003,607.22,31.217,31.409,1150.493,35.422,29.999,1.449,932.749,31.634,-39.229,-33.018,-68.896,-30.793,-0.276,-1.899,6.522,132.98,0.001,-1.633,-1.794,5.433,55,846.849,30601.333
366,1,366,779.214,33.706,33.885,1653.36,40.982,33.026,1.52,1456.995,38.016,-40.461,-37.402,-58.903,-30.755,1.169,-3.65,11.56,122.05,-0.002,595.093,31.295,31.502,1159.111,35.91,30.024,1.434,937.056,31.668,-40.352,-33.033,-68.65,-30.75,-0.056,-1.734,6.596,132.751,-0.004,-1.642,-1.803,6.054,55,750.958,11560.667
367,1,367,757.169,33.644,33.883,1633.888,41.448,33.017,1.503,1436.344,38.46,-41.159,-37.104,-57.551,-29.548,1.196,-3.676,12.06,113.927,-0.002,586.842,31.318,31.553,1169.857,35.995,30.012,1.421,946.217,31.266,-42.836,-33.821,-70.632,-30.405,-0.224,-1.9,7.559,118.408,0.007,-1.657,-1.811,6.78,55,775.26,21585.333
368,1,368,795.235,33.808,33.986,1701.371,40.784,33.011,1.52,1476.787,37.392,-39.207,-38.915,-59.08,-31.392,1.452,-3.626,11.426,119.025,0.006,608.571,31.335,31.509,1158.959,35.98,30.019,1.435,933.436,31.756,-41.622,-32.459,-68.501,-30.636,-0.061,-1.811,6.905,127.235,-0.015,-1.619,-1.78,5.68,55,776.238,20980
369,1,369,795.145,33.638,33.807,1570.062,42.353,33.038,1.501,1384.99,40.032,-40.998,-37.747,-58.559,-30.535,1.376,-3.65,11.528,122.957,0.005,609.912,31.325,31.532,1165.733,35.946,30.012,1.42,937.664,31.562,-40.171,-31.62,-68.228,-31.953,0.053,-1.799,7.054,124.94,-0.001,-1.587,-1.768,7.135,55,762.398,6852.667
370,1,370,785.927,33.705,33.898,1647.708,41.244,33.013,1.53,1443.33,38.25,-41.315,-38.471,-58.569,-30.374,0.934,-3.654,11.549,118.588,0.007,607.931,31.159,31.375,1150.942,35.137,30.019,1.456,943.15,31.42,-38.836,-31.448,-69.54,-31.09,-0.079,-1.861,6.927,123.573,0.003,-1.594,-1.762,6.454,55,798.845,16972.333
371,1,371,796.116,33.775,33.96,1666.608,41.374,33.018,1.517,1453.084,38.041,-43.32,-39.873,-58.518,-30.752,1.087,-3.838,11.762,115.96,0.002,613.011,31.363,31.55,1180.732,35.624,30.02,1.44,950.182,31.185,-39.04,-31.475,-69.439,-31.518,-0.155,-1.923,6.935,123.23,0.001,-1.6,-1.756,5.872,55,829.312,20826
372,1,372,751.085,33.55,33.82,1622.876,41.116,33.016,1.527,1443.111,38.279,-43.047,-37.079,-58.836,-30.069,1.175,-3.638,11.613,117.664,0.003,583.343,31.21,31.463,1157.133,35.652,30.018,1.438,942.072,31.454,-42.144,-30.989,-69.005,-30.473,-0.087,-1.829,7.286,121.979,0.004,-1.635,-1.801,6.273,55,811.591,10191.333
373,1,373,757.017,33.668,33.955,1646.514,41.821,32.991,1.506,1435.215,38.256,-42.627,-39.487,-58.431,-30.281,1.143,-3.68,11.294,122.576,0.003,581.675,31.128,31.368,1133.322,35.649,29.986,1.441,928.661,31.688,-39.256,-32.069,-68.661,-30.382,-0.009,-1.779,6.84,127.294,0.005,-1.592,-1.767,6.734,55,810.885,25313
374,1,374,776.511,33.693,33.861,1625.436,41.448,33.026,1.516,1429.668,38.716,-41.22,-37.887,-58.829,-30.378,1.082,-3.667,11.92,116.569,0,603.081,31.287,31.482,1168.853,35.439,29.993,1.442,945.76,31.143,-38.994,-32.419,-68.346,-31.249,0.018,-1.747,7.06,124.479,-0.002,-1.591,-1.766,6.512,55,744.541,6665
375,1,375,788.174,33.679,33.834,1611.403,41.54,33.032,1.509,1414.952,39.159,-40.214,-35.397,-58.119,-30.561,1.376,-3.679,11.774,118.924,0.004,606.385,31.455,31.66,1196.479,36.035,30.022,1.418,951.718,31.149,-40.513,-30.752,-68.454,-30.78,0.029,-1.797,6.951,126.023,0.005,-1.625,-1.789,7.243,55,747.277,6136.333
376,1,376,798.492,33.783,33.962,1708.949,40.384,33.028,1.533,1490.359,37.209,-40.141,-38.137,-58.838,-31.167,0.959,-3.698,11.187,120.053,0.01,616.912,31.342,31.537,1168.375,35.904,30.009,1.446,940.166,31.448,-40.196,-30.956,-68.472,-30.515,-0.098,-1.857,6.622,123.417,-0.004,-1.617,-1.771,5.863,55,792.133,9813.333
377,1,377,797.985,33.78,33.92,1650.574,41.388,33.028,1.518,1439.673,38.471,-41.609,-38.613,-58.01,-31.385,1.246,-3.772,11.356,120.272,-0.001,616.161,31.312,31.502,1167.329,35.655,30.015,1.44,942.798,31.403,-39.347,-31.909,-70.389,-30.042,-0.186,-1.918,6.685,125.721,0.005,-1.599,-1.759,6.162,55,811.887,26988.333
378,1,378,803.385,33.781,33.898,1642.506,41.375,33.018,1.493,1430.225,38.629,-40.683,-39.628,-58.212,-28.483,1.39,-3.689,12.203,114.874,-0.003,619.342,31.404,31.599,1186.014,35.866,30.015,1.414,948.637,31.204,-40.565,-31.875,-69.503,-30.955,-0.054,-1.843,7.464,113.783,-0.002,-1.586,-1.753,6.1,55,763.617,28275
379,1,379,770.086,33.779,34.013,1679.799,41.56,33.006,1.511,1456.528,37.853,-41.581,-40.342,-59.007,-30.106,0.979,-3.734,11.758,115.979,-0.003,589.908,31.192,31.416,1146.545,35.609,30.009,1.447,937.783,31.536,-39.525,-31.582,-70.295,-30.864,-0.091,-1.919,7.117,123.555,-0.01,-1.594,-1.758,6.226,55,811.382,18904
380,1,380,789.63,33.587,33.711,1554.861,41.815,33.032,1.528,1378.601,40.151,-36.293,-37.146,-58.073,-31.019,1.162,-3.69,11.372,122.887,-0.002,615.593,31.344,31.534,1182.48,35.437,30.009,1.447,954.004,30.978,-38.501,-32.099,-68.308,-31.033,-0.037,-1.782,6.706,127.302,-0.003,-1.584,-1.764,7.03,55,768.932,7409.667
381,1,381,799.211,33.761,33.793,1734.654,39.027,33.032,1.528,1500.234,37.006,-41.537,-36.05,-58.394,-30.551,0.794,-3.867,11.078,130.57,-0.027,623.015,31.246,31.448,1170.407,34.398,30.033,1.461,970.428,30.605,-35.89,-34.132,-70.782,-29.524,-0.137,-1.992,6.528,138.646,-0.024,-1.609,-1.775,13.844,65,791.733,210390.333
382,1,382,813.141,33.782,33.825,1704.6,39.998,33.01,1.499,1453.833,37.959,-40.915,-36.48,-58.499,-28.113,0.893,-3.841,11.169,132.41,-0.023,628.715,31.396,31.584,1208.114,34.356,30.03,1.444,993.784,29.847,-37.084,-33.695,-70.395,-27.179,-0.103,-1.925,6.744,139.536,-0.018,-1.614,-1.767,13.702,65,802.005,1991.333
383,1,383,802.091,33.629,33.801,1750.661,38.744,33.023,1.552,1543.514,35.932,-40.841,-37.661,-59.414,-31.357,0.876,-3.82,10.656,127.098,-0.022,619.406,31.252,31.469,1188.807,34.014,30.041,1.482,990.685,30.018,-39.037,-30.396,-69.761,-31.479,-0.088,-1.926,6.109,136.809,-0.025,-1.628,-1.787,13.95,65,778.843,698.236
384,1,384,788.843,33.544,33.585,1741.136,37.062,33.039,1.571,1557.761,35.745,-41.659,-33.593,-57.887,-30.978,0.846,-3.905,11.236,127.449,-0.022,617.034,31.343,31.553,1203.428,34.238,30.024,1.464,990.276,29.915,-38.723,-31.42,-70.592,-30.625,-0.18,-2.011,6.807,136.005,-0.021,-1.627,-1.779,13.812,65,769.54,766.394
385,1,385,799.225,33.72,33.817,1802.588,37.776,33.038,1.538,1579.176,35.266,-39.974,-36.143,-58.836,-30.721,0.76,-3.911,11.037,131.721,-0.027,618.22,31.407,31.589,1203.032,34.543,30.033,1.443,985.867,30.112,-39.1,-30.463,-70.323,-29.708,-0.217,-2.025,6.829,139.888,-0.021,-1.623,-1.787,13.895,65,780.197,814.508
386,1,386,794.593,33.667,33.774,1743.029,38.665,33.026,1.557,1534.696,36.152,-41.629,-37.482,-59.379,-30.2,0.803,-3.872,10.261,133.511,-0.021,615.556,31.287,31.492,1186.054,34.272,30.022,1.474,982.775,30.136,-39.428,-30.441,-70.344,-29.33,-0.193,-2.009,6.233,136.838,-0.02,-1.611,-1.779,3.052,1565,2294,767.264
387,1,387,799.907,33.568,33.586,1775.633,36.356,33.038,1.573,1580.757,35.228,-41.746,-33.416,-60.045,-30.951,0.858,-3.792,11.042,126.502,-0.028,620.304,31.307,31.527,1194.277,34.308,30.024,1.464,986.879,30.021,-37.235,-31.945,-70.454,-30.1,-0.134,-1.973,6.96,134.04,-0.025,-1.603,-1.775,14.05,65,767.353,730.993
388,1,388,787.307,33.706,33.805,1750.675,38.778,33.029,1.542,1533.337,36.212,-40.888,-37.118,-58.327,-31.25,0.583,-3.921,10.365,135.727,-0.022,608.692,31.191,31.402,1168.612,34.087,30.032,1.47,974.601,30.466,-37.223,-34.032,-70.813,-30.114,-0.265,-2.019,6.091,142.198,-0.018,-1.613,-1.774,13.696,65,778.959,780.092
389,1,389,807.365,33.584,33.616,1738.751,37.384,33.04,1.534,1535.653,36.247,-42.509,-33.519,-58.717,-31.146,0.948,-3.709,11.384,131.103,-0.026,629.392,31.367,31.594,1185.874,35.092,30.02,1.423,971.724,30.476,-38.053,-33.457,-71.281,-29.879,-0.142,-1.923,7.056,135.498,-0.023,-1.609,-1.76,13.988,65,782.622,797.231
390,1,390,814.756,33.779,33.803,1747.466,38.83,33.013,1.513,1499.991,36.847,-40.726,-36.162,-58.913,-31.296,0.714,-3.944,11.351,129.458,-0.025,629.713,31.395,31.588,1210.291,34.314,30.001,1.438,990.651,29.744,-37.536,-33.498,-70.78,-30.8,-0.205,-2.07,6.979,133.949,-0.027,-1.616,-1.755,13.796,65,792.801,790.395
391,1,391,806.522,33.773,33.809,1748.734,38.851,33.012,1.516,1507.457,36.667,-41.304,-36.459,-58.759,-29.551,0.465,-3.901,10.828,137.991,-0.019,624.41,31.364,31.564,1208.593,34.18,30.012,1.448,991.677,29.789,-37.183,-33.613,-70.633,-28.459,-0.209,-2.036,6.594,139.634,-0.024,-1.614,-1.769,13.778,65,786.043,815.69
392,1,392,816.533,33.796,33.823,1736.068,39.264,33.012,1.506,1486.299,37.173,-41.942,-35.947,-59.305,-30.423,0.872,-3.864,11.375,131.958,-0.022,629.367,31.413,31.615,1211.49,34.495,30.017,1.432,992.12,29.81,-38.072,-33.474,-70.895,-29.191,-0.152,-2.005,7.207,130.131,-0.022,-1.604,-1.767,13.597,65,794.4,764.119
393,1,393,805.422,33.744,33.78,1711.208,39.435,33.021,1.508,1475.546,37.508,-41.405,-36.135,-58.739,-30.921,0.626,-3.87,11.383,131.994,-0.022,621.937,31.386,31.576,1212.114,34.173,30.015,1.443,991.475,29.814,-38.157,-33.104,-70.907,-29.982,-0.171,-2.025,6.615,137.551,-0.023,-1.629,-1.771,13.703,65,789.075,792.464
394,1,394,810.163,33.745,33.787,1729.357,39.091,33.012,1.511,1485.488,37.191,-40.907,-36.219,-57.472,-30.916,0.754,-3.874,11.286,132.361,-0.022,624.58,31.373,31.576,1188.467,34.868,30.029,1.439,973.714,30.473,-37.952,-34.036,-71.384,-29.787,-0.132,-1.935,6.758,137.985,-0.018,-1.619,-1.768,13.688,65,789.479,803.676
