Header Section,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product,VC7810E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Test Plan,Rev(-),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Release Date,2012/10/11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comment,VC7810E_Q_sigurd_PAx01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Section,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Device#,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137
7,1,7,889.443,33.659,33.738,1730.977,39.03,33.021,1.497,1504.595,38.069,-43.435,-30.983,-58.758,-25.94,-3.304,-16.596,-3.661,-5.063,13.239,102.936,0.006,885.054,33.643,33.854,1661.479,41.769,33.03,1.458,1447.145,39.67,-37.804,-41.239,-49.731,-25.765,-3.111,-17.363,-3.609,-4.522,13.997,104.759,-0.048,982.645,31.544,31.758,1134.184,37.759,30.026,1.395,871.223,32.992,-37.317,-42.614,-58.522,-32.519,-18.486,-16.37,-2.425,-3.354,8.089,139.273,-0.043,976.762,30.947,31.505,1170.564,34.518,30.021,1.44,904.933,31.723,-43.735,-39.302,-61.792,-29.428,-17.697,-15.805,-1.76,-2.845,8.239,139.528,-0.062,891.639,26.932,-7.326,953.94,14.91,34.257,5.874,-61.347,-59.906,892.767,26.948,-6.245,932.846,15.343,33.193,5.171,-64.983,-63.426,1016.297,26.45,-8.902,1027.926,12.504,35.352,4.413,-64.069,-62.059,998.378,26.453,-5.658,1058.785,12.508,32.111,4.085,-64.968,-63.99,205.695,25.029,-5.107,669.506,14.209,30.136,-36.897,-39.567,-54.892,-57.024,1.944,-1.752,-1.725,-1.813,-2.103,0.028,5,1621,16331
8,1,8,897.107,33.641,33.765,1817.461,37.407,33.013,1.532,1598.043,35.78,-32.303,-28.897,-58.92,-25.048,-3.277,-16.586,-3.663,-5.064,12.493,109.588,-0.019,893.054,33.838,34.126,1804.893,40.931,33.029,1.466,1539.331,37.288,-42.069,-43.428,-50.958,-24.98,-3.083,-17.239,-3.613,-4.523,13.326,112.146,-0.065,978.74,31.442,31.667,1103.865,37.99,30.007,1.395,851.762,33.594,-37.741,-42.932,-58.76,-29.146,-18.388,-16.416,-2.427,-3.354,7.642,148.229,-0.033,972.172,30.832,31.389,1136.482,34.615,30.024,1.448,888.707,32.328,-40.581,-39.199,-62.533,-28.066,-17.646,-15.897,-1.763,-2.846,7.73,147.347,-0.058,899.357,26.918,-6.894,988.14,14.346,33.812,6.841,-59.911,-58.489,900.544,26.941,-5.955,966.295,14.784,32.897,5.867,-63.249,-61.4,1020.323,26.447,-8.434,1030.522,12.463,34.882,4.555,-64.06,-62.116,1002.565,26.455,-5.257,1061.165,12.484,31.711,4.275,-64.81,-63.408,203.16,25.036,-4.866,656.451,14.529,29.902,-36.929,-39.507,-55.282,-57.78,1.968,-1.738,-1.656,-1.784,-2.026,0.028,5,1583,14434
9,1,9,895.79,33.643,33.737,1782.794,37.888,33.008,1.5,1569.134,36.398,-40.593,-29.814,-59.995,-25.564,-3.285,-16.201,-3.659,-5.065,13.353,101.052,0.002,891.807,33.779,34.061,1764.654,41.245,33.04,1.447,1517.093,37.922,-40.07,-41.865,-50.367,-26.037,-3.088,-16.868,-3.609,-4.525,14.093,103.517,-0.072,1002.202,31.588,31.817,1158.219,37.481,30.021,1.382,886.12,32.397,-40.449,-42.615,-58.874,-32.113,-18.469,-16.302,-2.424,-3.354,8.447,134.539,-0.036,995.649,31.01,31.59,1198.542,34.38,30.014,1.425,921.491,31.104,-42.112,-38.993,-61.742,-29.658,-17.678,-15.744,-1.759,-2.845,8.542,135.189,-0.077,896.722,26.929,-6.853,977.304,14.543,33.782,6.253,-60.866,-59.282,898.015,26.941,-5.878,956.728,14.932,32.818,5.755,-63.7,-62.035,1019.231,26.452,-8.591,1031.308,12.466,35.042,3.948,-64.535,-63.027,1001.773,26.457,-5.535,1062.366,12.477,31.993,3.804,-65.119,-64.428,224.43,25.031,-5.125,682.809,13.926,30.156,-36.617,-39.303,-55.06,-56.691,1.962,-1.703,-1.644,-1.776,-2.017,0.028,5,1654,14794
10,1,10,879.214,33.579,33.669,1755.884,37.873,33.023,1.5,1558.12,36.779,-35.157,-30.821,-57.832,-25.502,-3.276,-16.961,-3.659,-5.062,13.311,103.886,0.006,875.361,33.677,33.92,1729.38,40.744,33.026,1.454,1509.448,37.998,-39.125,-41.068,-47.886,-25.435,-3.089,-17.927,-3.606,-4.52,13.865,104.556,-0.064,979.261,31.431,31.647,1118.87,37.313,30.027,1.389,869.261,33.075,-37.813,-41.773,-59.449,-30.397,-18.343,-16.201,-2.422,-3.353,8.207,140.207,-0.039,973.255,30.81,31.388,1170.635,33.597,30.011,1.442,918.427,31.187,-43.547,-39.164,-62.529,-28.762,-17.602,-15.662,-1.757,-2.845,8.158,140.103,-0.067,880.724,26.923,-7.103,961.915,14.756,34.026,6.745,-60.149,-58.797,882.508,26.944,-5.959,944.184,15.146,32.903,5.988,-63.262,-61.503,1014.309,26.443,-8.717,1024.84,12.521,35.159,4.774,-64.408,-61.994,996.788,26.457,-5.278,1056.851,12.546,31.735,4.226,-64.861,-63.79,217.142,25.025,-4.858,691.199,13.73,29.883,-36.397,-38.994,-54.621,-56.752,2.033,-1.724,-1.603,-1.746,-2.008,0.029,5,1667,12990
11,1,11,895.034,33.595,33.734,1846.574,36.556,33.013,1.541,1638.372,34.897,-31.238,-29.065,-58.012,-26.403,-3.298,-16.285,-3.669,-5.067,12.717,106.069,-0.03,890.642,33.87,34.174,1869.734,39.951,33.025,1.465,1585.925,36.155,-42.88,-43.676,-50.665,-25.446,-3.105,-16.826,-3.619,-4.525,13.5,108.663,-0.068,966.035,31.33,31.54,1093.699,37.243,30.042,1.402,859.832,33.549,-37.235,-41.01,-59.046,-30.298,-18.484,-16.51,-2.434,-3.354,8.027,142.496,-0.033,959.318,30.698,31.273,1154.517,33.178,30.006,1.46,918.021,31.168,-37.581,-39.002,-62.354,-28.746,-17.796,-16.077,-1.77,-2.845,7.946,141.788,-0.069,899.108,26.908,-6.72,999.295,14.152,33.628,7.464,-59.452,-58.243,899.675,26.941,-5.809,981.26,14.555,32.75,6.249,-62.387,-60.56,1018.951,26.439,-8.412,1030.017,12.445,34.851,4.997,-64.155,-61.838,1001.186,26.448,-5.079,1062.616,12.447,31.527,4.46,-64.58,-63.274,214.524,25.009,-4.652,696.686,13.569,29.661,-36.398,-39.014,-54.968,-57.218,2.074,-1.687,-1.661,-1.744,-2.075,0.028,5,1635,19022
12,1,12,882.605,33.614,33.761,1843.246,36.851,33.004,1.542,1630.912,34.983,-28.41,-28.515,-59.112,-26.904,-3.268,-16.363,-3.666,-5.066,12.837,104.561,-0.03,878.522,33.855,34.163,1851.74,40.237,33.035,1.468,1575.402,36.475,-42.538,-43.109,-51.324,-26.139,-3.075,-16.917,-3.617,-4.525,13.707,106.214,-0.068,960.738,31.375,31.598,1098.981,37.56,30.027,1.4,857.498,33.528,-37.714,-41.992,-59.118,-32.448,-18.373,-16.459,-2.431,-3.354,8.285,137.504,-0.035,954.178,30.755,31.312,1140.438,33.889,30.028,1.455,903.105,31.839,-38.368,-39.147,-62.069,-29.715,-17.619,-15.962,-1.767,-2.846,8.284,137.704,-0.07,886.197,26.912,-6.717,991.63,14.275,33.629,7.564,-59.195,-58.092,887.256,26.939,-5.836,970.438,14.712,32.775,6.364,-62.027,-60.665,1014.272,26.438,-8.619,1025.371,12.501,35.058,4.85,-64.159,-61.815,996.472,26.454,-5.264,1056.815,12.536,31.718,4.457,-64.539,-63.058,207.132,25.016,-4.8,672.378,14.103,29.816,-36.524,-39.094,-55.146,-57.432,2.04,-1.664,-1.734,-1.757,-1.986,0.028,5,1636,18535
13,1,13,883.535,33.586,33.723,1821.619,36.959,33.012,1.524,1614.299,35.411,-32.363,-29.525,-58.67,-26.543,-3.28,-16.392,-3.668,-5.065,13.099,104.706,-0.017,879.757,33.809,34.117,1815.792,40.603,33.022,1.452,1551.47,36.933,-42.489,-42.523,-50.765,-25.652,-3.086,-17,-3.618,-4.524,13.833,106.869,-0.07,958.814,31.383,31.613,1100.209,37.648,30.012,1.381,857.673,33.404,-38.994,-41.529,-59.064,-31.163,-18.433,-16.431,-2.432,-3.354,8.577,135.577,-0.035,952.149,30.754,31.327,1139.411,34.033,30.032,1.439,902.365,31.895,-37.571,-39.164,-62.393,-28.925,-17.644,-15.89,-1.769,-2.845,8.634,136.146,-0.065,885.673,26.912,-6.759,984.128,14.385,33.671,7.451,-59.416,-58.372,887.02,26.938,-5.85,962.445,14.832,32.788,6.128,-62.613,-60.993,1012.634,26.445,-8.348,1023.496,12.545,34.794,4.67,-63.998,-62.122,994.707,26.45,-5.161,1054.85,12.548,31.611,4.378,-64.662,-63.403,221.295,24.993,-4.883,669.786,14.087,29.876,-36.622,-39.213,-55.38,-56.882,2.014,-1.716,-1.682,-1.712,-2.013,0.029,5,1639,14668
14,1,14,887.232,33.692,33.825,1852.224,37.214,33.023,1.517,1624.591,35.277,-29.731,-29.779,-59.061,-24.996,-3.334,-16.417,-3.668,-5.064,13.027,105.522,-0.026,883.178,33.815,34.118,1822.627,40.458,33.035,1.45,1555.777,36.94,-41.092,-43.007,-50.887,-25.084,-3.137,-17.05,-3.617,-4.523,13.769,107.989,-0.065,984.718,31.611,31.806,1157.222,37.425,30.016,1.381,883.76,32.452,-37.32,-42.709,-59.369,-28.911,-18.376,-16.44,-2.431,-3.354,8.244,140.535,-0.042,978.604,30.948,31.541,1203.85,33.846,30.021,1.436,931.623,30.818,-44.548,-38.285,-63.122,-27.467,-17.694,-15.976,-1.768,-2.845,8.262,141.816,-0.071,887.76,26.916,-6.835,989.27,14.322,33.751,7.214,-59.424,-58.336,888.919,26.942,-5.805,964.284,14.816,32.747,6.041,-62.606,-60.868,1013.335,26.438,-9.444,1026.479,12.487,35.882,4.735,-64.832,-62.375,995.617,26.456,-5.497,1058.655,12.519,31.953,3.93,-65.049,-64.102,221.253,25.044,-4.994,703.163,13.545,30.038,-36.575,-39.309,-54.734,-56.682,1.969,-1.708,-1.657,-1.69,-2.094,0.029,5,1693,14036
15,1,15,887.537,33.686,33.806,1833.788,37.431,33.011,1.508,1606.288,35.58,-29.792,-29.382,-59.5,-26.684,-3.285,-16.424,-3.668,-5.065,13.287,102.877,-0.027,883.576,33.803,34.096,1812.312,40.485,33.023,1.446,1548.313,37.011,-41.166,-42.692,-50.42,-26.333,-3.094,-17.133,-3.618,-4.524,14.068,104.48,-0.073,989.781,31.411,31.619,1103.28,37.592,30.01,1.377,854.401,33.518,-37.746,-43.436,-59.428,-32.512,-18.368,-16.393,-2.432,-3.353,8.56,136.197,-0.034,983.09,30.758,31.329,1142.963,33.95,30.008,1.435,902.022,31.731,-38.609,-38.999,-62.19,-29.915,-17.652,-15.885,-1.769,-2.845,8.612,135.641,-0.068,890.572,26.922,-6.897,987.062,14.372,33.819,6.886,-59.883,-58.366,892.17,26.942,-5.835,964.593,14.811,32.777,6.026,-62.757,-61.025,1018.314,26.443,-8.637,1028.821,12.472,35.08,4.926,-64.359,-62.047,1000.61,26.453,-5.162,1060.165,12.492,31.615,4.432,-64.436,-63.289,207.561,25.026,-4.715,671.32,14.159,29.741,-36.678,-39.258,-55.168,-57.747,2.015,-1.662,-1.637,-1.789,-2.081,0.028,5,1587,15718
16,1,16,899.304,33.606,33.714,1803.825,37.249,33.02,1.528,1596.483,35.874,-41.543,-29.464,-59.251,-25.578,-3.263,-16.342,-3.669,-5.067,12.865,105.081,-0.004,895.235,33.773,34.039,1755.895,41.24,33.029,1.454,1503.946,38.164,-40.864,-44.345,-52.044,-25.278,-3.07,-16.917,-3.62,-4.526,13.69,106.578,-0.056,977.348,31.235,31.537,1077.305,37.782,30.025,1.397,847.071,33.925,-38.149,-43.735,-58.591,-29.86,-18.826,-16.755,-2.433,-3.354,8.301,137.803,-0.028,970.858,30.722,31.268,1121.29,34.124,30.043,1.448,893.498,32.299,-35.653,-39.548,-62.497,-28.607,-17.715,-16.027,-1.771,-2.845,8.403,137.879,-0.064,901.052,26.919,-6.893,982.889,14.424,33.812,6.81,-60.192,-58.613,902.156,26.947,-6.018,957.18,14.947,32.965,5.462,-63.88,-62.077,1021.77,26.452,-7.283,1031.444,12.466,33.735,4.291,-63.94,-62.212,1004.027,26.446,-5.121,1062.482,12.443,31.567,4.639,-64.203,-62.922,221.381,24.957,-4.842,654.455,14.313,29.799,-36.521,-39.037,-55.541,-57.276,2.055,-1.655,-1.679,-1.777,-2.112,0.028,5,1672,10044
17,1,17,891.788,33.617,33.713,1767.532,38.003,33.012,1.501,1552.253,36.83,-36.258,-29.576,-59.811,-26.481,-3.276,-16.453,-3.66,-5.065,13.513,100.208,0.001,888.04,33.762,34.014,1748.565,41.176,33.035,1.448,1506.042,38.158,-41.011,-42.231,-49.885,-26.34,-3.084,-17.23,-3.609,-4.524,14.234,102.326,-0.061,1000.166,31.449,31.676,1118.069,37.587,30.019,1.384,864.712,33.185,-39.051,-41.342,-58.906,-33.519,-18.394,-16.263,-2.424,-3.354,8.769,133.068,-0.041,993.844,30.851,31.406,1159.487,34.062,30.024,1.437,906.947,31.677,-41.02,-39.734,-62.485,-30.002,-17.569,-15.689,-1.76,-2.845,8.8,132.411,-0.06,892.933,26.926,-7.067,970.234,14.639,33.993,6.233,-60.691,-59.188,894.201,26.941,-6.012,951.522,15.015,32.952,5.719,-63.704,-61.93,1017.924,26.447,-8.487,1029.475,12.475,34.934,4.553,-63.912,-62.002,999.839,26.449,-5.268,1060.814,12.47,31.717,4.231,-64.533,-63.545,215.777,25.016,-4.893,672.823,14.094,29.908,-36.697,-39.321,-55.197,-57.235,2.012,-1.677,-1.673,-1.701,-1.992,0.029,5,1620,15385
18,1,18,895.16,33.665,33.825,1849.206,37.274,33.019,1.536,1621.982,35.298,-29.654,-29.082,-57.616,-27.005,-3.261,-16.45,-3.668,-5.065,12.665,106.29,-0.03,891.033,33.859,34.161,1838.239,40.514,33.04,1.469,1563.412,36.8,-42.261,-42.934,-50.483,-25.664,-3.066,-17.005,-3.619,-4.525,13.519,108.557,-0.066,964.07,31.435,31.658,1103.049,37.943,30.011,1.393,852.499,33.597,-37.264,-43.894,-59.537,-31.256,-18.246,-16.34,-2.431,-3.354,7.96,141.504,-0.033,957.345,30.776,31.338,1127.373,34.489,30.035,1.448,888.346,32.421,-38.152,-39.671,-62.43,-28.924,-17.547,-15.861,-1.768,-2.845,8.051,140.519,-0.065,897.341,26.915,-6.639,994.008,14.25,33.554,7.425,-59.366,-58.291,898.11,26.939,-5.835,972.264,14.686,32.774,6.047,-62.862,-61.041,1017.945,26.444,-8.525,1029.275,12.471,34.969,4.754,-64.553,-62.08,1000.123,26.449,-5.16,1059.882,12.483,31.609,4.435,-64.494,-63.041,205.561,25.018,-4.844,652.916,14.551,29.862,-36.804,-39.315,-55.309,-57.371,2.006,-1.668,-1.678,-1.762,-2.171,0.028,5,1573,12934
19,1,19,895.6,33.712,33.834,1846.861,37.402,33.01,1.517,1611.73,35.454,-31.004,-29.692,-59.1,-25.738,-3.326,-16.367,-3.668,-5.065,13.16,103.974,-0.02,891.688,33.811,34.084,1807.711,40.481,33.026,1.456,1546.326,37.087,-40.301,-43.694,-50.134,-25.238,-3.129,-16.959,-3.618,-4.523,13.828,106.248,-0.064,984.789,31.586,31.783,1148.426,37.505,30.03,1.392,878.396,32.755,-38.109,-43.537,-58.527,-30.205,-18.358,-16.491,-2.431,-3.354,7.788,145.721,-0.042,978.455,30.951,31.512,1184.609,34.164,30.027,1.442,917.414,31.337,-39.887,-38.71,-61.713,-28.652,-17.668,-16.032,-1.768,-2.845,7.874,146.211,-0.066,893.951,26.911,-6.871,987.475,14.329,33.782,7.191,-59.684,-58.322,894.919,26.944,-5.849,964.742,14.816,32.793,5.865,-63.01,-61.309,1018.189,26.441,-9.176,1030.994,12.44,35.617,4.747,-64.674,-62.698,1000.5,26.455,-5.374,1062.106,12.474,31.829,4.034,-64.947,-63.957,205.765,25.035,-4.963,678.528,14.03,29.998,-36.852,-39.526,-55.005,-57.451,1.948,-1.706,-1.698,-1.721,-2.091,0.028,5,1631,18964
20,1,20,893.493,33.657,33.76,1805.191,37.622,33.003,1.514,1582.223,36.052,-32.533,-29.664,-58.612,-25.194,-3.277,-16.385,-3.66,-5.064,12.877,106.021,-0.003,889.73,33.785,34.06,1787.104,40.716,33.018,1.463,1532.087,37.365,-40.687,-42.007,-49.457,-25.792,-3.082,-17.081,-3.608,-4.523,13.634,107.893,-0.065,1014.639,31.549,31.757,1135.081,37.721,30.029,1.392,872.261,32.972,-38.003,-44.51,-59.021,-31.163,-18.364,-16.24,-2.423,-3.354,8.165,138.747,-0.033,1008.105,30.906,31.473,1161.113,34.546,30.037,1.437,900.809,31.991,-42.569,-39.541,-62.931,-29.017,-17.648,-15.722,-1.758,-2.845,8.327,137.233,-0.067,892.624,26.926,-6.903,980.309,14.488,33.83,6.452,-60.32,-58.797,894.004,26.946,-5.861,959.737,14.902,32.807,5.888,-63.169,-61.266,1024.337,26.444,-8.879,1035.012,12.399,35.323,4.594,-64.329,-62.161,1006.491,26.456,-5.385,1065.513,12.435,31.841,4.187,-64.613,-63.737,219.51,25.024,-5.111,662.521,14.35,30.135,-36.886,-39.519,-55.019,-56.761,1.945,-1.741,-1.631,-1.742,-2.097,0.029,5,1581,15807
51,1,51,894.189,33.912,34.047,1830.136,39.645,33.014,1.523,1556.694,36.743,-28.419,-29.932,-58.376,-27.548,-3.378,-14.719,-3.657,-5.064,12.392,108.352,-0.029,890.742,33.778,34.17,1834.58,40.678,33.021,1.503,1565.072,36.602,-46.08,-40.967,-48.409,-26.097,-3.183,-14.892,-3.602,-4.521,13.297,109.381,-0.076,946.943,31.62,31.847,1116.126,39.172,30.031,1.399,847.187,33.964,-40.341,-36.118,-60.531,-31.3,-20.525,-18.82,-2.399,-3.35,7.806,142.135,-0.036,940.248,30.937,31.511,1142.553,35.412,30.037,1.453,880.529,32.727,-41.731,-33.624,-61.347,-29.739,-18.912,-17.814,-1.727,-2.842,7.98,142.496,-0.066,900.297,26.918,-6.738,985.497,14.385,33.656,6.715,-60.682,-59.32,902.056,26.936,-5.591,975.967,14.619,32.528,6.284,-62.708,-61.198,763.502,26.44,-8.329,784.647,16.438,34.769,5.988,-61.836,-61.217,749.171,26.445,-5.134,821.795,16.315,31.579,5.452,-61.553,-61.223,166.023,25.043,-4.823,648.412,14.742,29.866,-39.065,-41.958,-55.569,-60.545,1.638,-1.413,-1.443,-1.341,-1.634,0.028,5,1713,180666
52,1,52,859.176,33.942,34.038,1765.35,41.014,33.005,1.503,1493.048,38.23,-36.36,-31.334,-59.636,-25.657,-3.354,-14.784,-3.657,-5.064,12.967,103.655,-0.009,854.88,33.645,33.988,1718.384,41.647,33.026,1.495,1490.701,38.475,-41.021,-40.301,-48.573,-25.553,-3.159,-15.032,-3.601,-4.521,13.871,105.335,-0.07,920.949,31.568,31.847,1116.253,39.156,30.03,1.402,850.545,33.827,-40.292,-37.544,-60.952,-30.489,-20.503,-18.706,-2.399,-3.349,8.08,141.604,-0.04,914.482,30.819,31.459,1133.392,35.278,30.033,1.463,884.031,32.568,-41.485,-33.961,-61.976,-28.967,-18.829,-17.659,-1.728,-2.841,8.22,141.875,-0.068,860.079,26.922,-7.199,939.961,15.099,34.12,6.659,-60.929,-59.555,859.202,26.93,-5.834,925.211,15.41,32.765,6.524,-62.843,-61.455,738.864,26.44,-7.944,769.781,16.763,34.384,6.229,-60.928,-60.044,724.427,26.443,-4.933,807.329,16.618,31.376,5.752,-60.798,-60.227,167.832,25.039,-4.507,649.228,14.708,29.546,-38.351,-41.187,-55.358,-60.127,1.766,-1.445,-1.39,-1.35,-1.594,0.028,5,1709,16398
53,1,53,903.004,33.976,34.09,1816.679,40.334,33.004,1.511,1528.642,37.324,-31.928,-30.397,-59.125,-26.617,-3.357,-14.608,-3.658,-5.06,12.532,105.894,-0.024,899.207,33.791,34.094,1776.011,41.288,33.033,1.491,1519.967,37.79,-42.834,-41.549,-50.053,-26.065,-3.155,-14.763,-3.604,-4.517,13.496,108.942,-0.072,974.012,31.566,31.787,1114.742,38.677,30.009,1.4,848.117,33.756,-38.898,-38.022,-60.701,-31.453,-20.742,-18.836,-2.402,-3.348,7.768,142.484,-0.035,968.092,30.859,31.44,1147.95,34.674,30.035,1.464,893.963,32.22,-43.977,-33.421,-62.125,-29.679,-19.104,-17.848,-1.73,-2.84,7.791,141.868,-0.078,908.378,26.925,-7.159,982.426,14.452,34.084,6.217,-61.206,-59.62,909.619,26.939,-5.952,966.768,14.767,32.89,5.664,-63.926,-62.119,773.167,26.438,-8.362,792.796,16.255,34.8,5.977,-62.285,-61.83,758.882,26.441,-4.931,831.467,16.098,31.372,5.567,-61.794,-61.356,169.542,25.047,-4.506,665.282,14.362,29.552,-38.361,-41.207,-55.205,-61.272,1.77,-1.436,-1.419,-1.382,-1.578,0.028,5,1698,14944
54,1,54,897.785,33.9,33.997,1775.159,40.397,33.018,1.505,1505.172,38.032,-29.015,-30.439,-58.865,-26.222,-3.383,-15.042,-3.657,-5.064,12.855,104.867,-0.001,893.81,33.733,34.077,1756.215,41.592,33.031,1.49,1507.46,38.09,-44.22,-40.879,-49.538,-25.871,-3.189,-15.224,-3.602,-4.521,13.731,106.739,-0.066,975.997,31.673,31.901,1141.219,38.785,30.008,1.395,859.549,33.302,-39,-35.29,-60.84,-31.363,-20.53,-18.856,-2.399,-3.349,7.818,144.01,-0.04,969.25,30.966,31.566,1170.296,35.013,30.037,1.455,900.172,32.011,-38.932,-33.369,-62.232,-29.604,-18.874,-17.811,-1.728,-2.841,7.915,142.352,-0.06,903.615,26.936,-7.049,971.728,14.65,33.985,5.804,-61.899,-60.365,904.719,26.944,-5.742,959.602,14.899,32.687,5.777,-63.942,-62.279,771.676,26.437,-8.365,794.383,16.221,34.802,6.043,-61.571,-61.04,757.22,26.443,-5.053,832.917,16.079,31.497,5.455,-61.518,-61.175,170.64,25.047,-4.721,663.662,14.4,29.768,-38.939,-41.984,-55.452,-60.725,1.658,-1.367,-1.425,-1.329,-1.552,0.028,5,1651,15250
55,1,55,895.056,33.993,34.098,1806.461,40.633,33.017,1.501,1519.012,37.673,-30.558,-30.325,-58.555,-26.929,-3.374,-14.937,-3.658,-5.067,12.795,103.917,-0.016,891.245,33.754,34.085,1766.928,41.422,33.029,1.487,1513.371,37.918,-41.556,-40.885,-48.687,-26.302,-3.187,-15.198,-3.603,-4.523,13.757,106.093,-0.07,969.732,31.548,31.779,1099.889,39.132,30.009,1.397,837.725,34.174,-39.441,-35.972,-60.614,-31.402,-20.304,-18.64,-2.401,-3.35,7.846,140.599,-0.034,963.264,30.884,31.442,1129.368,35.257,30.034,1.459,878.243,32.788,-39.572,-33.693,-61.974,-29.898,-18.631,-17.585,-1.73,-2.842,7.977,139.464,-0.062,900.54,26.931,-7.035,975.23,14.58,33.966,5.955,-61.349,-59.874,902.27,26.939,-5.773,960.672,14.864,32.713,5.828,-63.716,-61.993,765.14,26.441,-8.171,784.077,16.452,34.611,5.851,-62.362,-61.808,750.734,26.442,-5.052,821.253,16.318,31.494,5.457,-61.974,-61.709,167.022,25.043,-4.768,646.484,14.787,29.811,-38.889,-41.701,-55.364,-61.082,1.682,-1.464,-1.42,-1.391,-1.629,0.029,5,1621,14437
56,1,56,898.864,34.018,34.117,1835.194,40.168,33.016,1.498,1553.575,36.832,-27.054,-30.829,-59.794,-27.375,-3.384,-14.95,-3.656,-5.063,13.02,101.365,-0.022,895.097,33.723,34.148,1843.655,40.282,33.027,1.492,1577.844,36.356,-46.246,-39.567,-48.919,-26.676,-3.194,-15.099,-3.6,-4.52,13.89,102.61,-0.076,978.978,31.69,31.955,1140.292,39.298,30.008,1.375,857.074,33.398,-39.111,-36.935,-61.471,-30.511,-20.585,-19,-2.397,-3.349,8.589,133.066,-0.033,972.023,30.999,31.582,1151.941,35.704,30.025,1.428,883.157,32.536,-41.916,-33.822,-61.69,-29.37,-18.913,-17.913,-1.726,-2.841,8.809,131.692,-0.063,903.864,26.927,-6.919,986.879,14.392,33.845,6.144,-61.234,-59.876,905.517,26.937,-5.425,981.423,14.537,32.361,6.553,-62.172,-60.856,774.575,26.448,-8.052,796.231,16.223,34.501,5.692,-61.958,-61.603,760.145,26.449,-5.177,830.307,16.15,31.626,5.253,-61.984,-61.791,173.262,25.04,-4.992,639.71,14.941,30.032,-39.295,-42.292,-55.496,-60.198,1.624,-1.424,-1.419,-1.391,-1.593,0.029,5,1611,13504
